0 0.0039781975 0.0038336678 0.0038491099 0.003960253 0.003889443
500 0.0052649975 0.0050073233 0.005193207 0.0052084266 0.0051092226
1000 0.0055433563 0.0051689995 0.0053372956 0.005357434 0.0053557963
1500 0.005276177 0.005568622 0.0050988547 0.0055825952 0.005229567
2000 0.005438333 0.00537443 0.0051825684 0.0052121887 0.005499765
2500 0.005399908 0.0052899253 0.005422826 0.005519449 0.005627724
3000 0.0057539186 0.0054563745 0.0052160504 0.0053432104 0.0057814103
3500 0.005375525 0.004959136 0.004997056 0.0058072284 0.0057419576
4000 0.0057190624 0.0053020697 0.0053499746 0.005663931 0.005502771
4500 0.0050203144 0.0050544473 0.005350985 0.005517493 0.005783597
5000 0.0052697905 0.0046573305 0.0050794897 0.0053011817 0.0055634864
5500 0.005835256 0.0054899147 0.005472759 0.005247398 0.0049974006
6000 0.005319095 0.0050172578 0.005046654 0.0050852806 0.005160246
6500 0.005150754 0.005187582 0.0054383376 0.004770704 0.005556797
7000 0.005038795 0.004956508 0.0049508926 0.0049997 0.005377038
7500 0.005231666 0.004626884 0.0053943894 0.0053867865 0.004982368
8000 0.0054836296 0.005228563 0.0048970203 0.0049862573 0.0053212144
8500 0.0050990926 0.004610983 0.0051724683 0.0046360036 0.005203282
9000 0.0054452396 0.0046781553 0.0047054095 0.0045464407 0.004714069
9500 0.005099411 0.005517361 0.004572389 0.004955397 0.004889755
10000 0.0048113177 0.004915244 0.0045765676 0.004797037 0.0046258774
10500 0.004953597 0.004874107 0.0044911206 0.0047467244 0.004542858
11000 0.005183459 0.0048511317 0.004568519 0.004569584 0.004556138
11500 0.0049247025 0.0044113733 0.004511499 0.0051997523 0.0047205575
12000 0.0046011754 0.0043537826 0.0043863505 0.0045462237 0.004554742
12500 0.004383641 0.0043544057 0.004784103 0.0046205833 0.004853036
13000 0.0046848287 0.0048156255 0.004558764 0.004719154 0.0044925613
13500 0.004345371 0.004327984 0.004704172 0.0044778446 0.004650123
14000 0.004562978 0.0046742186 0.00427126 0.0045838067 0.004391184
14500 0.0045716558 0.0043513514 0.004711792 0.004640351 0.0043836944
15000 0.004317849 0.0044177813 0.0043132883 0.0050091036 0.0045531993
15500 0.0045353593 0.004300734 0.0042457543 0.004291902 0.004664266
16000 0.00435184 0.0045218 0.00432291 0.0043169167 0.0044092946
16500 0.004298252 0.0042060805 0.004480019 0.0044729165 0.0046508173
17000 0.0044327066 0.0043656905 0.004778249 0.0045146546 0.0043488783
17500 0.004438114 0.004474167 0.0043484853 0.0047501978 0.0044620265
18000 0.0045519844 0.004803917 0.0044301194 0.0045093605 0.004273227
18500 0.0050340607 0.004484209 0.004278157 0.0045487373 0.0044125225
19000 0.004265396 0.0048717433 0.0044597043 0.004700408 0.004806062
19500 0.0042667426 0.0042456295 0.0042901607 0.0044740643 0.004445614
20000 0.004441192 0.0041540554 0.004408165 0.004450388 0.0045330445
