0 0.5244 0.528 0.5254 0.5422 0.5199
4000 0.5284 0.5268 0.5264 0.5441 0.5221
8000 0.5333 0.5428 0.5209 0.5438 0.5401
12000 0.5338 0.5543 0.5363 0.5532 0.5399
16000 0.5367 0.5619 0.5396 0.5524 0.5495
20000 0.5472 0.5659 0.5496 0.5648 0.5507
24000 0.5534 0.5764 0.5604 0.567 0.5658
28000 0.5552 0.5752 0.5621 0.569 0.5729
32000 0.5665 0.5783 0.5797 0.5698 0.5755
36000 0.5656 0.5856 0.5803 0.5702 0.5695
40000 0.5802 0.5885 0.5793 0.574 0.5886
44000 0.5831 0.5878 0.5811 0.5823 0.5834
48000 0.5826 0.5911 0.5853 0.5854 0.5908
52000 0.5769 0.5908 0.5926 0.5911 0.5921
56000 0.5852 0.5978 0.5846 0.5929 0.5997
60000 0.5883 0.5923 0.5889 0.5879 0.5914
64000 0.5991 0.5953 0.6024 0.5912 0.6014
68000 0.593 0.6004 0.595 0.5966 0.5993
72000 0.5941 0.6002 0.5975 0.5965 0.5995
76000 0.5955 0.6007 0.5982 0.5965 0.6062
80000 0.602 0.6003 0.605 0.5861 0.6082
84000 0.5982 0.6009 0.6033 0.5998 0.6024
88000 0.5938 0.5987 0.601 0.6033 0.5978
92000 0.5983 0.6017 0.603 0.6002 0.6035
96000 0.5976 0.6056 0.5999 0.5999 0.6059
100000 0.6011 0.5988 0.6099 0.605 0.6051
104000 0.6028 0.6065 0.6091 0.609 0.6096
108000 0.6017 0.607 0.6076 0.6052 0.6011
112000 0.6034 0.5996 0.6045 0.6066 0.6034
116000 0.5987 0.6075 0.6029 0.6028 0.6073
120000 0.5981 0.5972 0.6047 0.6036 0.5959
124000 0.6057 0.603 0.6123 0.5989 0.6035
128000 0.6091 0.6066 0.61 0.6013 0.6059
132000 0.6118 0.604 0.614 0.603 0.6078
136000 0.6063 0.6062 0.6093 0.6108 0.6029
140000 0.6081 0.6124 0.611 0.611 0.6135
144000 0.614 0.6021 0.5982 0.6071 0.6075
148000 0.6062 0.6049 0.6033 0.6043 0.6087
152000 0.6128 0.6101 0.6116 0.6071 0.6107
156000 0.6036 0.6023 0.6103 0.6067 0.612
160000 0.6055 0.605 0.618 0.6038 0.6096
