4000 0.2445 0.2323 0.2679
8000 0.2303 0.2297 0.1984
12000 0.2101 0.243 0.2549
16000 0.2168 0.2325 0.2494
20000 0.2307 0.2445 0.2318
24000 0.1986 0.2129 0.2248
28000 0.2353 0.1301 0.2295
32000 0.2625 0.2635 0.2338
36000 0.2141 0.2523 0.2281
40000 0.2583 0.229 0.2242
44000 0.2502 0.208 0.2212
48000 0.2397 0.2497 0.2369
52000 0.2293 0.2289 0.2163
56000 0.2121 0.2439 0.2482
60000 0.2124 0.2456 0.2296
64000 0.2539 0.184 0.235
68000 0.2175 0.2484 0.2481
72000 0.1391 0.238 0.2085
76000 0.2858 0.2625 0.2175
80000 0.2456 0.2073 0.2281
84000 0.1685 0.2039 0.2185
88000 0.2643 0.1902 0.2381
92000 0.2328 0.1928 0.2172
96000 0.2429 0.2121 0.2028
100000 0.2429 0.2624 0.214
104000 0.2429 0.1986 0.2449
108000 0.2147 0.1981 0.2264
112000 0.202 0.243 0.2582
116000 0.2515 0.2579 0.1948
120000 0.2448 0.1988 0.234
124000 0.2142 0.1801 0.193
128000 0.2015 0.2504 0.2451
132000 0.1881 0.2496 0.2023
136000 0.2208 0.2525 0.1841
140000 0.2587 0.2062 0.244
144000 0.212 0.241 0.2347
148000 0.2416 0.242 0.1933
152000 0.2106 0.2149 0.2175
156000 0.2321 0.2148 0.1908
160000 0.2345 0.2264 0.2388
