4000 0.4466 0.4624 0.4477 0.4402 0.4398
8000 0.4488 0.39 0.432 0.4248 0.447
12000 0.4521 0.3875 0.4083 0.4455 0.3779
16000 0.4517 0.3899 0.3937 0.4283 0.4009
20000 0.4131 0.4433 0.4231 0.4508 0.354
24000 0.4349 0.1504 0.3589 0.3935 0.4554
28000 0.4455 0.4013 0.4115 0.4072 0.4462
32000 0.4079 0.4094 0.4264 0.4285 0.3692
36000 0.4045 0.367 0.4168 0.3905 0.4443
40000 0.4567 0.33 0.4188 0.3901 0.3664
44000 0.4281 0.3996 0.4173 0.4484 0.4175
48000 0.4415 0.4101 0.3823 0.4009 0.3979
52000 0.4388 0.3658 0.4014 0.4051 0.4049
56000 0.4144 0.41 0.4047 0.3933 0.3766
60000 0.4191 0.409 0.4075 0.393 0.3509
64000 0.4078 0.369 0.3691 0.4029 0.4302
68000 0.3584 0.4015 0.4085 0.3972 0.3659
72000 0.3027 0.3743 0.4171 0.4055 0.431
76000 0.3227 0.4266 0.4287 0.3591 0.3415
80000 0.4054 0.4138 0.4043 0.3156 0.4007
84000 0.3501 0.3223 0.4339 0.3954 0.3613
88000 0.3901 0.388 0.4046 0.3692 0.4075
92000 0.4416 0.4322 0.4122 0.3359 0.4192
96000 0.4234 0.3838 0.3574 0.3995 0.4406
100000 0.4323 0.3106 0.3713 0.4176 0.4065
104000 0.3852 0.4319 0.3345 0.3839 0.4219
108000 0.3587 0.4156 0.3267 0.3631 0.4144
112000 0.4023 0.3561 0.4236 0.3305 0.4011
116000 0.4114 0.4182 0.3363 0.4282 0.3623
120000 0.3713 0.438 0.3151 0.3164 0.4101
124000 0.3471 0.3651 0.3859 0.3128 0.3689
128000 0.4313 0.3862 0.4122 0.4082 0.4008
132000 0.4575 0.335 0.4424 0.4217 0.3843
136000 0.3368 0.4172 0.4077 0.4105 0.3924
140000 0.4113 0.4311 0.3746 0.4101 0.3731
144000 0.355 0.3363 0.4122 0.3944 0.3671
148000 0.3393 0.3913 0.3076 0.4391 0.3615
152000 0.3443 0.4258 0.4029 0.4134 0.3785
156000 0.3716 0.3881 0.3692 0.4209 0.3499
160000 0.4294 0.4115 0.4014 0.3299 0.3634
