0 0.4471 0.4569 0.4579
4000 0.3252 0.3154 0.3434
8000 0.3599 0.3119 0.3374
12000 0.3476 0.3074 0.3472
16000 0.2972 0.3385 0.3513
20000 0.3247 0.2767 0.3601
24000 0.2715 0.3184 0.3137
28000 0.3405 0.2557 0.3447
32000 0.3447 0.3475 0.3162
36000 0.2888 0.2705 0.313
40000 0.329 0.319 0.3651
44000 0.2781 0.3376 0.2981
48000 0.3248 0.3431 0.3403
52000 0.3231 0.2819 0.2965
56000 0.2908 0.2545 0.3452
60000 0.3048 0.2804 0.3399
64000 0.3264 0.3185 0.3307
68000 0.323 0.294 0.3482
72000 0.3188 0.2487 0.2824
76000 0.3362 0.334 0.281
80000 0.2895 0.2991 0.3283
84000 0.3099 0.2765 0.3338
88000 0.2969 0.3236 0.2416
92000 0.2912 0.2944 0.3172
96000 0.3268 0.3392 0.25
100000 0.2671 0.3265 0.2893
104000 0.2916 0.2586 0.3206
108000 0.2561 0.2837 0.334
112000 0.3258 0.3084 0.2406
116000 0.305 0.2407 0.3224
120000 0.2983 0.2999 0.2254
124000 0.3309 0.316 0.2548
128000 0.2809 0.2688 0.3382
132000 0.2619 0.3338 0.2957
136000 0.233 0.2547 0.2649
140000 0.2373 0.3252 0.2326
144000 0.3093 0.2685 0.2587
148000 0.282 0.329 0.302
152000 0.2836 0.2346 0.313
156000 0.2437 0.2831 0.3272
160000 0.2996 0.2434 0.2888
