4000 0.1404 0.228 0.1686 0.147 0.1446
8000 0.2464 0.1754 0.1192 0.2294 0.2671
12000 0.1188 0.2364 0.209 0.2453 0.2384
16000 0.2209 0.1599 0.1632 0.1733 0.2474
20000 0.2174 0.2283 0.1572 0.2515 0.203
24000 0.1701 0.167 0.2435 0.1787 0.2518
28000 0.1777 0.2278 0.1523 0.2149 0.2363
32000 0.2285 0.248 0.2292 0.1935 0.2299
36000 0.16 0.1524 0.2516 0.2194 0.2471
40000 0.2274 0.1586 0.2596 0.1598 0.2347
44000 0.2003 0.1487 0.2455 0.2275 0.2435
48000 0.2292 0.1862 0.1852 0.1717 0.1652
52000 0.1504 0.1459 0.2322 0.1837 0.2363
56000 0.1861 0.2347 0.1793 0.1636 0.1778
60000 0.1769 0.1589 0.2464 0.1612 0.1719
64000 0.1499 0.1648 0.1611 0.2345 0.1805
68000 0.2277 0.2353 0.1884 0.172 0.2574
72000 0.2328 0.2265 0.2473 0.198 0.1952
76000 0.265 0.2037 0.175 0.1667 0.1735
80000 0.2088 0.2472 0.2092 0.1716 0.237
84000 0.1705 0.1639 0.1961 0.2215 0.2511
88000 0.2388 0.1556 0.2373 0.1617 0.1613
92000 0.1617 0.1797 0.2555 0.2352 0.1502
96000 0.1739 0.1447 0.2267 0.2287 0.1738
100000 0.1537 0.2157 0.2599 0.2394 0.162
104000 0.1537 0.241 0.2423 0.2329 0.2246
108000 0.241 0.2514 0.2131 0.2368 0.2047
112000 0.1746 0.1617 0.235 0.2094 0.2435
116000 0.2285 0.2037 0.2012 0.1915 0.1709
120000 0.1942 0.2092 0.2394 0.1593 0.1165
124000 0.174 0.172 0.2012 0.2372 0.1963
128000 0.154 0.169 0.2529 0.1388 0.1622
132000 0.1757 0.218 0.2326 0.2063 0.2428
136000 0.2502 0.1816 0.1754 0.1939 0.1703
140000 0.2164 0.2293 0.1687 0.1664 0.2353
144000 0.2362 0.2419 0.1603 0.1943 0.1997
148000 0.1939 0.1385 0.1602 0.1761 0.2307
152000 0.1552 0.1836 0.1763 0.209 0.1639
156000 0.2178 0.1851 0.1675 0.1215 0.1551
160000 0.1646 0.2499 0.1757 0.1368 0.1559
