4000 0.4983 0.5236 0.4979 0.5097
8000 0.4854 0.5076 0.4906 0.4573
12000 0.4872 0.5062 0.5089 0.468
16000 0.481 0.4905 0.4916 0.478
20000 0.4949 0.4668 0.4894 0.4781
24000 0.4875 0.497 0.4768 0.4883
28000 0.4803 0.4897 0.4965 0.4693
32000 0.4842 0.4898 0.4704 0.4708
36000 0.482 0.4856 0.4929 0.4738
40000 0.4417 0.4786 0.4857 0.5
44000 0.491 0.4352 0.4843 0.4732
48000 0.4765 0.4892 0.4852 0.4926
52000 0.4788 0.458 0.4955 0.4627
56000 0.4632 0.5004 0.5022 0.4297
60000 0.4678 0.5109 0.5114 0.469
64000 0.4831 0.4392 0.5037 0.4929
68000 0.4367 0.4719 0.4917 0.416
72000 0.4495 0.4876 0.4622 0.4845
76000 0.4628 0.4066 0.5084 0.491
80000 0.4795 0.4806 0.4661 0.4753
84000 0.4263 0.4823 0.4723 0.4343
88000 0.4793 0.4621 0.4942 0.48
92000 0.4862 0.4906 0.4911 0.4838
96000 0.4379 0.4739 0.427 0.444
100000 0.4734 0.455 0.4771 0.4216
104000 0.419 0.4475 0.4858 0.4895
108000 0.4548 0.383 0.4981 0.4888
112000 0.4606 0.4903 0.4279 0.4236
116000 0.479 0.4653 0.4534 0.4508
120000 0.4592 0.4952 0.4846 0.4624
124000 0.3709 0.4999 0.447 0.3991
128000 0.4828 0.5076 0.4457 0.4664
132000 0.4209 0.4421 0.4416 0.4235
136000 0.4608 0.4863 0.4377 0.4521
140000 0.449 0.4865 0.4277 0.4346
144000 0.4573 0.42 0.4773 0.419
148000 0.4595 0.4554 0.4487 0.4593
152000 0.4412 0.4891 0.3686 0.4386
156000 0.4778 0.4966 0.4993 0.468
160000 0.4539 0.4824 0.4769 0.3956
