0 0.5221 0.5271 0.5275 0.534 0.5217
4000 0.3941 0.438 0.4403 0.44 0.4344
8000 0.4128 0.4319 0.4117 0.4166 0.434
12000 0.413 0.4385 0.4413 0.393 0.4158
16000 0.4271 0.425 0.4243 0.4265 0.4123
20000 0.4086 0.3984 0.4114 0.4022 0.4264
24000 0.4062 0.3979 0.412 0.3878 0.424
28000 0.3935 0.4247 0.408 0.4283 0.3929
32000 0.3837 0.4202 0.3988 0.4111 0.4051
36000 0.4242 0.4182 0.4359 0.392 0.4176
40000 0.3998 0.4045 0.4053 0.4337 0.4091
44000 0.4321 0.4105 0.3987 0.392 0.4228
48000 0.427 0.4167 0.405 0.3978 0.4182
52000 0.4095 0.4181 0.4347 0.4022 0.4174
56000 0.4228 0.4372 0.4093 0.4019 0.4183
60000 0.4134 0.4074 0.4016 0.4084 0.4088
64000 0.3939 0.4121 0.4027 0.4044 0.3896
68000 0.4232 0.4021 0.4062 0.4084 0.3918
72000 0.438 0.4447 0.379 0.3938 0.3983
76000 0.4273 0.419 0.4032 0.4206 0.41
80000 0.4253 0.439 0.3991 0.4234 0.3913
84000 0.417 0.4204 0.3996 0.4043 0.4001
88000 0.4235 0.4357 0.4338 0.3978 0.424
92000 0.3835 0.4145 0.4141 0.3851 0.3768
96000 0.4149 0.4311 0.4166 0.4081 0.3952
100000 0.432 0.4234 0.4157 0.4071 0.4017
104000 0.4248 0.4243 0.3945 0.391 0.416
108000 0.4224 0.3997 0.418 0.4198 0.3837
112000 0.4168 0.4193 0.3971 0.396 0.4099
116000 0.3985 0.4274 0.4158 0.4081 0.4193
120000 0.4012 0.4016 0.3974 0.3925 0.3909
124000 0.4132 0.4014 0.3738 0.3771 0.4144
128000 0.3971 0.4193 0.4333 0.4132 0.4042
132000 0.4031 0.4157 0.4009 0.3834 0.4035
136000 0.4074 0.4188 0.4176 0.4192 0.3889
140000 0.3883 0.4016 0.4264 0.3884 0.3949
144000 0.4086 0.4149 0.3944 0.39 0.3898
148000 0.4102 0.409 0.4202 0.4162 0.4058
152000 0.3926 0.3953 0.3968 0.411 0.4133
156000 0.4074 0.3879 0.4015 0.3997 0.409
160000 0.4181 0.3955 0.399 0.4034 0.4072
